,Bang_cap,Nam_kinh_nghiem,Mang_cong_viec,Luong,Luong_cu,Thoi_gian_gan_bo,Nang_luc_work,Xep_loai_bang
7123,Khong bang cap,4,Lap trinh vien,13.65,13,3,D,Khong xep loai
7124,Cao dang,6,Tester,22.05,21,2,C,Trung binh
7125,Dai hoc,1,Lap trinh vien,34.65,33,0,C,Xuat sac
7126,Dai hoc,0,Tu van ban hang,12.6,12,0,C,kha
7127,Cao dang,4,Lap trinh vien,8.4,8,5,C,kha
7128,Cao dang,0,Lap trinh vien,23.1,22,0,D,kha
7129,Cao dang,0,Tu van ban hang,12.6,12,1,B,Gioi
7130,Cao dang,12,BA,25.2,24,5,A,Trung binh
7131,Cao dang,2,Lap trinh vien,4.2,4,3,B,Xuat sac
7132,Cao dang,0,Lap trinh vien,9.45,9,1,B,Trung binh
7133,Cao dang,2,Tu van ban hang,11.025,10.5,1,C,Gioi
7134,Cao dang,2,Ky su R&D,15.75,15,2,D,Gioi
7135,Cao dang,9,Lap trinh vien,21,20,7,A,Xuat sac
7136,Cao dang,0,Lap trinh vien,24.15,23,0,C,Xuat sac
7137,Cao dang,9,Lap trinh vien,13.65,13,5,C,Trung binh
7138,Khong bang cap,6,Tu van ban hang,4.2,4,3,C,Khong xep loai
7139,Cao dang,9,Ky su R&D,18.9,18,5,A,Xuat sac
7140,Khong bang cap,1,PM,22.05,21,0,D,Khong xep loai
7141,Cao dang,19,Lap trinh vien,10.5,10,11,A,kha
7142,Cao dang,7,Tu van ban hang,9.45,9,11,C,Gioi
7143,Cao dang,0,Lap trinh vien,8.4,8,13,B,kha
7144,Dai hoc,3,Ky su R&D,22.05,21,4,B,Xuat sac
7145,Cao dang,0,Lap trinh vien,37.8,36,0,C,Trung binh
7146,Dai hoc,3,Lap trinh vien,31.5,30,1,B,Gioi
7147,Cao dang,11,Ky su R&D,5.25,5,12,B,Xuat sac
7148,Cao dang,5,Ky su R&D,13.65,13,3,A,Xuat sac
7149,Cao dang,13,BA,18.9,18,8,B,Xuat sac
7150,Dai hoc,15,Ke toan,11.55,11,3,C,Gioi
7151,Cao dang,14,BA,37.8,36,12,A,Xuat sac
7152,Dai hoc,15,Tu van ban hang,8.4,8,5,A,Gioi
7153,Dai hoc,0,Tu van ban hang,4.2,4,1,A,Xuat sac
7154,Thac si,4,Ke toan,15.75,15,0,A,kha
7155,Dai hoc,0,Tu van ban hang,10.5,10,7,C,Trung binh
7156,Cao dang,0,Lap trinh vien,29.925,28.5,0,D,Trung binh
7157,Dai hoc,7,BA,24.15,23,5,C,kha
7158,Cao dang,0,Tester,9.45,9,1,C,Xuat sac
7159,Cao dang,7,PM,23.1,22,0,C,Gioi
7160,Dai hoc,9,Lap trinh vien,16.8,16,1,C,Gioi
7161,Dai hoc,0,Lap trinh vien,11.55,11,3,D,Trung binh
7162,Cao dang,6,Lap trinh vien,6.3,6,7,C,Trung binh
7163,Dai hoc,3,Tu van ban hang,7.35,7,3,A,Xuat sac
7164,Dai hoc,3,Ke toan,8.4,8,5,D,Trung binh
7165,Dai hoc,7,BA,25.2,24,12,B,Trung binh
7166,Cao dang,14,BA,15.75,15,5,D,kha
7167,Dai hoc,1,Ky su R&D,9.45,9,2,A,Trung binh
7168,Dai hoc,2,BA,18.9,18,6,B,Gioi
7169,Dai hoc,2,PM,18.9,18,3,C,Gioi
7170,Khong bang cap,3,Lap trinh vien,5.25,5,5,D,Khong xep loai
7171,Dai hoc,3,BA,16.8,16,0,A,Gioi
7172,Dai hoc,0,Ke toan,9.45,9,1,C,Xuat sac
7173,Cao dang,2,Lap trinh vien,12.6,12,3,B,Gioi
7174,Khong bang cap,10,Lap trinh vien,9.45,9,1,A,Khong xep loai
7175,Dai hoc,9,Ke toan,46.2,44,9,A,Gioi
7176,Dai hoc,0,Ky su R&D,4.2,4,0,B,kha
7177,Dai hoc,2,Tu van ban hang,13.65,13,1,B,kha
7178,Cao dang,12,Lap trinh vien,54.6,52,6,A,Gioi
7179,Thac si,3,Tu van ban hang,15.75,15,2,A,Xuat sac
7180,Cao dang,0,Ky su R&D,17.85,17,5,C,Trung binh
7181,Dai hoc,1,PM,44.1,42,5,C,Xuat sac
7182,Dai hoc,0,Ke toan,12.6,12,1,C,Xuat sac
7183,Cao dang,1,Lap trinh vien,12.6,12,0,D,Gioi
7184,Cao dang,2,Lap trinh vien,9.45,9,6,D,Xuat sac
7185,Dai hoc,6,Lap trinh vien,25.2,24,7,D,Gioi
7186,Cao dang,1,Ky su R&D,11.55,11,0,D,Xuat sac
7187,Thac si,0,Lap trinh vien,24.15,23,1,A,Trung binh
7188,Khong bang cap,6,PM,29.4,28,12,B,Khong xep loai
7189,Cao dang,5,Lap trinh vien,18.9,18,8,A,Trung binh
7190,Thac si,0,Lap trinh vien,25.2,24,1,A,Trung binh
7191,Dai hoc,11,Ky su R&D,10.5,10,13,D,kha
7192,Thac si,2,Ky su R&D,21,20,8,A,kha
7193,Dai hoc,1,Lap trinh vien,24.15,23,2,A,Trung binh
7194,Dai hoc,6,Lap trinh vien,15.75,15,0,C,Xuat sac
7195,Cao dang,2,Lap trinh vien,19.95,19,3,A,Trung binh
7196,Dai hoc,23,BA,25.2,24,7,D,Xuat sac
7197,Cao dang,6,Ky su R&D,11.55,11,14,D,Xuat sac
7198,Cao dang,9,Tu van ban hang,8.4,8,3,A,Gioi
7199,Khong bang cap,0,Lap trinh vien,21,20,1,C,Khong xep loai
7200,Cao dang,3,Tu van ban hang,18.9,18,4,A,Xuat sac
7201,Dai hoc,4,Tester,13.65,13,6,D,kha
7202,Khong bang cap,0,Lap trinh vien,12.6,12,1,D,Khong xep loai
7203,Cao dang,3,BA,23.1,22,3,D,Trung binh
7204,Cao dang,5,Lap trinh vien,17.85,17,1,C,Trung binh
7205,Cao dang,0,Lap trinh vien,5.25,5,1,D,Gioi
7206,Dai hoc,13,Xu ly data,5.25,5,3,D,Gioi
7207,Cao dang,0,Lap trinh vien,13.65,13,0,B,Gioi
7208,Cao dang,2,Lap trinh vien,6.3,6,1,C,Xuat sac
7209,Cao dang,1,Tu van ban hang,5.25,5,1,D,Trung binh
7210,Cao dang,2,Ke toan,6.3,6,2,A,kha
7211,Dai hoc,9,Lap trinh vien,11.55,11,2,C,Xuat sac
7212,Khong bang cap,1,Ky su R&D,8.4,8,4,C,Khong xep loai
7213,Dai hoc,3,BA,28.35,27,1,B,Gioi
7214,Dai hoc,4,Tu van ban hang,4.2,4,14,D,Trung binh
7215,Thac si,4,Lap trinh vien,16.8,16,0,A,Trung binh
7216,Dai hoc,5,BA,23.1,22,3,B,kha
7217,Cao dang,1,Lap trinh vien,17.325,16.5,1,C,Trung binh
7218,Dai hoc,4,Lap trinh vien,13.65,13,5,B,Xuat sac
7219,Cao dang,5,Xu ly data,9.45,9,1,C,Gioi
7220,Cao dang,2,Tu van ban hang,13.65,13,4,A,Xuat sac
7221,Khong bang cap,0,Lap trinh vien,25.2,24,1,A,Khong xep loai
7222,Cao dang,3,BA,17.85,17,10,D,Xuat sac
7223,Cao dang,1,Lap trinh vien,6.3,6,3,A,Gioi
7224,Thac si,0,Lap trinh vien,22.05,21,1,A,kha
7225,Cao dang,0,PM,24.15,23,2,C,Xuat sac
7226,Dai hoc,0,Lap trinh vien,8.4,8,0,B,kha
7227,Cao dang,4,Ke toan,4.2,4,2,D,kha
7228,Dai hoc,2,Tester,17.325,16.5,1,C,Gioi
7229,Cao dang,2,Lap trinh vien,7.35,7,6,B,Xuat sac
7230,Cao dang,7,Lap trinh vien,19.95,19,5,B,Xuat sac
7231,Cao dang,0,Lap trinh vien,11.55,11,1,B,Trung binh
7232,Khong bang cap,9,Xu ly data,6.3,6,7,B,Khong xep loai
7233,Cao dang,0,BA,10.5,10,0,D,Xuat sac
7234,Cao dang,5,Lap trinh vien,4.2,4,4,C,kha
7235,Cao dang,9,Lap trinh vien,22.05,21,3,D,kha
7236,Dai hoc,0,Lap trinh vien,18.9,18,1,B,Trung binh
7237,Cao dang,0,Lap trinh vien,4.2,4,3,B,kha
7238,Cao dang,3,BA,34.65,33,4,A,kha
7239,Dai hoc,0,PM,42.525,40.5,9,D,Trung binh
7240,Dai hoc,0,Lap trinh vien,17.325,16.5,2,C,Xuat sac
7241,Cao dang,0,Lap trinh vien,9.45,9,0,D,Gioi
7242,Dai hoc,0,Lap trinh vien,24.15,23,5,B,Gioi
7243,Cao dang,5,Lap trinh vien,17.85,17,7,A,kha
7244,Dai hoc,0,Lap trinh vien,10.5,10,10,B,Xuat sac
7245,Cao dang,4,PM,26.25,25,4,D,Xuat sac
7246,Dai hoc,0,Lap trinh vien,8.4,8,1,C,kha
7247,Cao dang,11,Lap trinh vien,8.4,8,12,A,Xuat sac
7248,Khong bang cap,0,Lap trinh vien,9.45,9,1,C,Khong xep loai
7249,Cao dang,7,Lap trinh vien,15.75,15,7,B,Gioi
7250,Khong bang cap,0,BA,7.35,7,0,A,Khong xep loai
7251,Cao dang,1,Lap trinh vien,6.3,6,4,C,Trung binh
7252,Dai hoc,10,Lap trinh vien,6.3,6,2,A,Trung binh
7253,Cao dang,2,Lap trinh vien,23.1,22,1,A,Trung binh
7254,Cao dang,5,Lap trinh vien,17.325,16.5,4,B,Gioi
7255,Khong bang cap,12,Lap trinh vien,6.3,6,8,C,Khong xep loai
7256,Cao dang,0,Tu van ban hang,11.55,11,1,C,Trung binh
7257,Cao dang,2,Lap trinh vien,9.45,9,1,C,Gioi
7258,Thac si,3,Tu van ban hang,15.75,15,2,A,Gioi
7259,Cao dang,5,BA,9.45,9,3,B,Trung binh
7260,Cao dang,0,Lap trinh vien,21,20,0,A,Xuat sac
7261,Cao dang,3,Tu van ban hang,14.7,14,3,C,Trung binh
7262,Cao dang,2,Tu van ban hang,10.5,10,8,A,Trung binh
7263,Khong bang cap,0,Lap trinh vien,7.35,7,1,C,Khong xep loai
7264,Cao dang,2,Lap trinh vien,28.35,27,1,C,kha
7265,Cao dang,5,Lap trinh vien,28.35,27,2,A,Gioi
7266,Khong bang cap,1,Lap trinh vien,13.65,13,0,A,Khong xep loai
7267,Cao dang,19,Lap trinh vien,16.8,16,1,A,kha
7268,Dai hoc,14,Lap trinh vien,8.4,8,0,B,kha
7269,Khong bang cap,10,Lap trinh vien,14.7,14,3,A,Khong xep loai
7270,Dai hoc,3,Lap trinh vien,25.2,24,0,D,Xuat sac
7271,Cao dang,17,PM,22.05,21,12,D,Gioi
7272,Thac si,1,Lap trinh vien,22.05,21,5,A,kha
7273,Cao dang,0,BA,22.05,21,0,C,Trung binh
7274,Cao dang,0,Lap trinh vien,37.8,36,2,D,Xuat sac
7275,Dai hoc,4,Lap trinh vien,28.35,27,6,B,Xuat sac
7276,Dai hoc,4,Tu van ban hang,22.05,21,2,B,Xuat sac
7277,Cao dang,4,Lap trinh vien,6.3,6,2,C,Xuat sac
7278,Dai hoc,2,PM,11.55,11,2,A,Trung binh
7279,Khong bang cap,1,Lap trinh vien,5.25,5,2,C,Khong xep loai
7280,Dai hoc,16,Ke toan,9.45,9,12,A,Trung binh
7281,Cao dang,11,Lap trinh vien,18.9,18,12,C,Xuat sac
7282,Dai hoc,3,Lap trinh vien,16.8,16,2,C,kha
7283,Cao dang,0,Lap trinh vien,12.6,12,1,D,kha
7284,Dai hoc,9,Lap trinh vien,25.2,24,7,C,Gioi
7285,Dai hoc,1,Ky su R&D,12.6,12,1,A,Gioi
7286,Cao dang,7,Lap trinh vien,36.225,34.5,10,D,Gioi
7287,Cao dang,6,Ky su R&D,9.45,9,6,D,kha
7288,Dai hoc,1,Lap trinh vien,24.15,23,1,C,Trung binh
7289,Khong bang cap,9,Lap trinh vien,17.85,17,6,C,Khong xep loai
7290,Dai hoc,0,Lap trinh vien,23.625,22.5,0,A,Xuat sac
7291,Cao dang,2,Ky su R&D,17.85,17,8,D,Gioi
7292,Dai hoc,2,Lap trinh vien,15.75,15,1,D,kha
7293,Khong bang cap,4,Lap trinh vien,4.2,4,2,A,Khong xep loai
7294,Khong bang cap,1,Ky su R&D,5.25,5,3,B,Khong xep loai
7295,Dai hoc,0,Xu ly data,7.35,7,0,A,Gioi
7296,Dai hoc,9,Ky su R&D,10.5,10,9,D,Gioi
7297,Cao dang,17,Lap trinh vien,11.55,11,9,C,Xuat sac
7298,Dai hoc,5,Ky su R&D,7.35,7,1,D,Trung binh
7299,Khong bang cap,0,Tester,6.3,6,0,B,Khong xep loai
7300,Khong bang cap,4,Lap trinh vien,15.75,15,6,D,Khong xep loai
7301,Dai hoc,0,Lap trinh vien,17.325,16.5,0,A,Gioi
7302,Cao dang,0,Lap trinh vien,29.925,28.5,0,A,kha
7303,Cao dang,9,Lap trinh vien,14.7,14,2,B,kha
7304,Dai hoc,0,Lap trinh vien,9.45,9,1,C,kha
7305,Dai hoc,34,Ky su R&D,16.8,16,13,D,Gioi
7306,Dai hoc,4,PM,28.35,27,5,B,Gioi
7307,Thac si,3,BA,24.15,23,3,A,Gioi
7308,Cao dang,8,Lap trinh vien,15.75,15,9,A,kha
7309,Khong bang cap,16,Lap trinh vien,10.5,10,5,A,Khong xep loai
7310,Dai hoc,0,Lap trinh vien,10.5,10,1,D,Gioi
7311,Cao dang,2,Lap trinh vien,7.35,7,9,C,Trung binh
7312,Cao dang,11,PM,25.2,24,0,C,Gioi
7313,Cao dang,1,Lap trinh vien,22.05,21,1,D,kha
7314,Cao dang,0,PM,6.3,6,1,B,Trung binh
7315,Cao dang,1,Ky su R&D,20.475,19.5,1,D,Trung binh
7316,Dai hoc,5,Tu van ban hang,14.7,14,4,C,kha
7317,Dai hoc,17,Lap trinh vien,10.5,10,7,B,kha
7318,Cao dang,6,Lap trinh vien,15.75,15,4,D,Gioi
7319,Khong bang cap,3,Lap trinh vien,13.65,13,7,A,Khong xep loai
7320,Dai hoc,16,PM,14.7,14,11,C,Xuat sac
7321,Dai hoc,0,Tu van ban hang,14.7,14,1,D,Gioi
7322,Cao dang,5,Lap trinh vien,11.55,11,7,C,Trung binh
7323,Dai hoc,0,Tester,17.325,16.5,1,C,kha
7324,Dai hoc,6,BA,25.2,24,1,D,Trung binh
7325,Cao dang,4,Tu van ban hang,8.4,8,4,B,Xuat sac
7326,Dai hoc,6,Lap trinh vien,17.325,16.5,12,C,Gioi
7327,Khong bang cap,9,Lap trinh vien,17.85,17,8,A,Khong xep loai
7328,Cao dang,4,Lap trinh vien,13.65,13,4,A,Trung binh
7329,Dai hoc,6,Ke toan,14.7,14,7,C,Xuat sac
7330,Dai hoc,3,Lap trinh vien,23.1,22,5,A,Trung binh
7331,Cao dang,0,BA,21,20,1,A,Gioi
7332,Cao dang,4,Lap trinh vien,17.85,17,11,B,Trung binh
7333,Khong bang cap,14,Tu van ban hang,4.2,4,5,C,Khong xep loai
7334,Dai hoc,2,Ky su R&D,12.6,12,3,D,kha
7335,Khong bang cap,0,Lap trinh vien,19.95,19,8,B,Khong xep loai
7336,Cao dang,15,Xu ly data,9.45,9,14,B,Xuat sac
7337,Dai hoc,2,Lap trinh vien,9.45,9,1,A,Gioi
7338,Cao dang,1,PM,5.25,5,0,C,Gioi
7339,Dai hoc,0,Ke toan,11.55,11,1,D,Trung binh
7340,Cao dang,5,Lap trinh vien,8.4,8,9,A,Xuat sac
7341,Dai hoc,1,Lap trinh vien,12.6,12,4,B,Gioi
7342,Cao dang,3,BA,17.325,16.5,0,A,Trung binh
7343,Dai hoc,0,Lap trinh vien,18.9,18,1,C,Trung binh
7344,Dai hoc,5,Lap trinh vien,26.775,25.5,4,D,Trung binh
7345,Cao dang,1,Lap trinh vien,6.3,6,0,B,Trung binh
7346,Dai hoc,3,Lap trinh vien,17.325,16.5,3,C,Gioi
7347,Khong bang cap,7,Ky su R&D,17.85,17,5,B,Khong xep loai
7348,Cao dang,5,Tester,4.2,4,0,B,kha
7349,Cao dang,1,Tester,4.2,4,5,D,Trung binh
7350,Cao dang,3,Lap trinh vien,15.75,15,2,C,Trung binh
7351,Dai hoc,0,BA,7.35,7,3,A,Trung binh
7352,Khong bang cap,12,Lap trinh vien,58.8,56,8,A,Khong xep loai
7353,Khong bang cap,0,Ky su R&D,36.225,34.5,0,A,Khong xep loai
7354,Khong bang cap,2,Lap trinh vien,5.25,5,2,C,Khong xep loai
7355,Dai hoc,12,PM,14.7,14,8,D,Gioi
7356,Dai hoc,0,BA,31.5,30,1,A,Gioi
7357,Thac si,5,Lap trinh vien,25.2,24,6,A,Xuat sac
7358,Cao dang,0,Lap trinh vien,10.5,10,0,A,Trung binh
7359,Khong bang cap,7,Lap trinh vien,24.15,23,2,A,Khong xep loai
7360,Cao dang,0,Tu van ban hang,7.35,7,10,B,kha
7361,Dai hoc,1,Xu ly data,6.3,6,2,A,Trung binh
7362,Thac si,7,Lap trinh vien,21,20,11,A,Gioi
7363,Dai hoc,0,PM,23.1,22,0,D,Trung binh
7364,Dai hoc,10,Lap trinh vien,17.85,17,7,A,Xuat sac
7365,Dai hoc,1,Ky su R&D,37.8,36,6,D,Trung binh
7366,Dai hoc,5,Tu van ban hang,5.25,5,3,A,Trung binh
7367,Dai hoc,7,Lap trinh vien,16.8,16,2,B,Xuat sac
7368,Dai hoc,2,Lap trinh vien,23.1,22,1,D,Trung binh
7369,Dai hoc,4,Lap trinh vien,15.75,15,2,A,Trung binh
7370,Dai hoc,0,Ky su R&D,5.25,5,1,A,Gioi
7371,Cao dang,0,Lap trinh vien,15.75,15,10,A,kha
7372,Dai hoc,0,Lap trinh vien,33.075,31.5,0,C,Trung binh
7373,Dai hoc,0,Tester,6.3,6,12,B,Xuat sac
7374,Cao dang,1,Ky su R&D,17.85,17,3,B,Xuat sac
7375,Dai hoc,1,BA,22.05,21,1,C,kha
7376,Cao dang,8,Ky su R&D,7.35,7,9,A,Gioi
7377,Khong bang cap,2,BA,9.45,9,2,D,Khong xep loai
7378,Dai hoc,1,Xu ly data,14.7,14,2,A,Trung binh
7379,Cao dang,2,Ky su R&D,21,20,2,C,kha
7380,Cao dang,2,Ky su R&D,12.6,12,6,B,Xuat sac
7381,Khong bang cap,8,Ke toan,7.35,7,2,A,Khong xep loai
7382,Dai hoc,15,Lap trinh vien,5.25,5,14,A,Trung binh
7383,Dai hoc,0,PM,4.2,4,1,A,Xuat sac
7384,Khong bang cap,0,Lap trinh vien,14.7,14,2,B,Khong xep loai
7385,Dai hoc,6,BA,9.45,9,0,C,Trung binh
7386,Cao dang,2,Lap trinh vien,17.85,17,8,A,Gioi
7387,Cao dang,11,Lap trinh vien,16.8,16,7,A,kha
7388,Khong bang cap,32,Ke toan,7.35,7,11,B,Khong xep loai
7389,Dai hoc,7,Lap trinh vien,24.15,23,2,B,Gioi
7390,Cao dang,1,PM,25.2,24,2,C,Xuat sac
7391,Cao dang,5,Lap trinh vien,21,20,9,B,Gioi
7392,Cao dang,3,Lap trinh vien,5.25,5,3,C,Trung binh
7393,Cao dang,0,Lap trinh vien,10.5,10,0,D,Gioi
7394,Cao dang,6,Lap trinh vien,22.05,21,9,C,kha
7395,Dai hoc,1,Lap trinh vien,14.175,13.5,0,D,Gioi
7396,Cao dang,1,Lap trinh vien,22.05,21,8,D,Trung binh
7397,Cao dang,3,Xu ly data,11.55,11,2,A,kha
7398,Cao dang,4,Xu ly data,13.65,13,3,D,Gioi
7399,Dai hoc,1,BA,17.85,17,2,C,Trung binh
7400,Cao dang,5,Tu van ban hang,4.2,4,0,D,Trung binh
7401,Cao dang,0,BA,7.35,7,0,B,Gioi
7402,Dai hoc,2,PM,9.45,9,2,A,Xuat sac
7403,Dai hoc,2,BA,24.15,23,7,B,Gioi
7404,Dai hoc,2,Lap trinh vien,7.35,7,2,D,Trung binh
7405,Cao dang,0,Lap trinh vien,16.8,16,0,C,Xuat sac
7406,Cao dang,0,PM,10.5,10,0,D,Gioi
7407,Dai hoc,4,Lap trinh vien,23.1,22,1,B,Trung binh
7408,Khong bang cap,0,Ke toan,10.5,10,6,D,Khong xep loai
7409,Cao dang,0,Ke toan,6.3,6,4,C,kha
7410,Thac si,2,Ke toan,15.75,15,0,A,Gioi
7411,Khong bang cap,6,Tester,14.7,14,1,D,Khong xep loai
7412,Cao dang,6,Tu van ban hang,13.65,13,1,C,Gioi
7413,Khong bang cap,0,BA,13.65,13,1,D,Khong xep loai
7414,Khong bang cap,6,Tu van ban hang,7.875,7.5,11,D,Khong xep loai
7415,Dai hoc,5,PM,29.4,28,3,C,Gioi
7416,Cao dang,13,Lap trinh vien,25.2,24,3,D,kha
7417,Dai hoc,2,PM,27.3,26,9,D,Gioi
7418,Dai hoc,1,Lap trinh vien,11.55,11,1,C,kha
7419,Dai hoc,11,PM,7.35,7,13,B,Trung binh
7420,Cao dang,0,Ky su R&D,9.45,9,0,A,Gioi
7421,Dai hoc,2,Ky su R&D,16.8,16,3,C,Xuat sac
7422,Cao dang,10,Xu ly data,12.6,12,13,A,kha
7423,Cao dang,8,Lap trinh vien,8.4,8,2,C,kha
7424,Cao dang,0,Lap trinh vien,12.6,12,0,D,Xuat sac
7425,Cao dang,1,Tu van ban hang,5.25,5,5,A,kha
7426,Cao dang,4,Xu ly data,14.7,14,8,B,Gioi
7427,Dai hoc,7,Xu ly data,11.55,11,5,D,Gioi
7428,Cao dang,5,Lap trinh vien,17.85,17,6,A,Xuat sac
7429,Cao dang,6,Lap trinh vien,14.7,14,6,D,kha
7430,Cao dang,8,Lap trinh vien,4.2,4,8,D,Xuat sac
7431,Dai hoc,0,Lap trinh vien,17.85,17,0,B,Gioi
7432,Dai hoc,6,Ky su R&D,24.15,23,6,C,Xuat sac
7433,Khong bang cap,11,Lap trinh vien,4.2,4,6,C,Khong xep loai
7434,Cao dang,1,Lap trinh vien,22.05,21,1,A,Trung binh
7435,Dai hoc,11,PM,17.85,17,1,C,Trung binh
7436,Cao dang,0,Lap trinh vien,24.15,23,0,C,Xuat sac
7437,Cao dang,0,PM,29.4,28,1,C,Xuat sac
7438,Thac si,1,Lap trinh vien,21,20,0,A,Gioi
7439,Khong bang cap,1,Ky su R&D,18.9,18,2,B,Khong xep loai
7440,Dai hoc,10,Xu ly data,11.55,11,3,C,Gioi
7441,Dai hoc,4,BA,19.95,19,6,C,Xuat sac
7442,Cao dang,17,Ky su R&D,18.9,18,10,B,Trung binh
7443,Dai hoc,3,Tester,9.45,9,2,D,kha
7444,Dai hoc,3,Lap trinh vien,5.25,5,10,A,Gioi
7445,Cao dang,2,Tester,8.4,8,9,A,Trung binh
7446,Cao dang,0,Lap trinh vien,10.5,10,2,C,Xuat sac
7447,Dai hoc,4,Xu ly data,9.45,9,5,B,Trung binh
7448,Cao dang,2,Tester,13.65,13,1,C,Trung binh
7449,Cao dang,6,Lap trinh vien,14.7,14,7,B,Xuat sac
7450,Cao dang,1,Tu van ban hang,13.65,13,2,C,kha
7451,Dai hoc,0,Lap trinh vien,20.475,19.5,1,B,Trung binh
7452,Cao dang,0,Ky su R&D,6.3,6,0,D,kha
7453,Cao dang,5,BA,9.45,9,5,C,Trung binh
7454,Dai hoc,5,Tu van ban hang,8.4,8,2,C,Xuat sac
7455,Cao dang,8,Lap trinh vien,28.35,27,7,A,kha
7456,Cao dang,0,Lap trinh vien,9.45,9,1,D,Trung binh
7457,Khong bang cap,7,Xu ly data,6.3,6,1,A,Khong xep loai
7458,Khong bang cap,7,Lap trinh vien,18.9,18,14,B,Khong xep loai
7459,Dai hoc,2,Lap trinh vien,11.55,11,2,A,Gioi
7460,Cao dang,0,BA,13.65,13,2,D,Xuat sac
7461,Dai hoc,1,Lap trinh vien,12.6,12,4,C,Gioi
7462,Dai hoc,10,Tu van ban hang,6.3,6,10,C,Xuat sac
7463,Cao dang,6,Ky su R&D,15.75,15,8,B,Gioi
7464,Cao dang,3,Lap trinh vien,18.9,18,2,C,Xuat sac
7465,Cao dang,0,Lap trinh vien,21,20,1,C,kha
7466,Khong bang cap,0,Lap trinh vien,8.4,8,0,B,Khong xep loai
7467,Cao dang,4,Ky su R&D,17.85,17,7,B,kha
7468,Khong bang cap,7,BA,11.55,11,13,C,Khong xep loai
7469,Dai hoc,1,Tester,13.65,13,0,A,Trung binh
7470,Dai hoc,3,Xu ly data,14.7,14,3,D,Gioi
7471,Cao dang,0,BA,14.175,13.5,0,B,Trung binh
7472,Dai hoc,2,Lap trinh vien,8.4,8,8,C,Gioi
7473,Khong bang cap,2,Lap trinh vien,11.55,11,4,A,Khong xep loai
7474,Cao dang,1,Lap trinh vien,19.95,19,0,A,kha
7475,Cao dang,2,PM,21,20,1,C,Trung binh
7476,Cao dang,0,Lap trinh vien,12.6,12,3,D,kha
7477,Khong bang cap,0,Tu van ban hang,13.65,13,1,C,Khong xep loai
7478,Khong bang cap,16,PM,19.95,19,2,A,Khong xep loai
7479,Thac si,2,BA,26.775,25.5,1,A,Xuat sac
7480,Dai hoc,1,Tu van ban hang,14.7,14,0,B,kha
7481,Dai hoc,6,PM,29.4,28,8,C,Xuat sac
7482,Khong bang cap,9,Lap trinh vien,11.55,11,5,A,Khong xep loai
7483,Cao dang,9,Tu van ban hang,46.2,44,6,B,Xuat sac
7484,Cao dang,4,Lap trinh vien,37.8,36,1,D,Trung binh
7485,Cao dang,1,Lap trinh vien,16.8,16,8,C,Trung binh
7486,Thac si,0,Lap trinh vien,17.85,17,1,A,Trung binh
7487,Cao dang,0,Lap trinh vien,21,20,1,C,kha
7488,Dai hoc,0,Tu van ban hang,7.35,7,0,D,Xuat sac
7489,Khong bang cap,1,BA,14.7,14,0,D,Khong xep loai
7490,Dai hoc,0,PM,28.35,27,0,B,Trung binh
7491,Cao dang,3,PM,15.75,15,4,B,kha
7492,Cao dang,0,Tester,9.45,9,1,D,kha
7493,Cao dang,1,Lap trinh vien,10.5,10,1,B,Gioi
7494,Khong bang cap,5,Lap trinh vien,9.45,9,0,A,Khong xep loai
7495,Cao dang,1,Ky su R&D,16.8,16,1,A,kha
7496,Cao dang,14,Lap trinh vien,17.85,17,10,D,Trung binh
7497,Cao dang,7,Lap trinh vien,25.2,24,1,C,Trung binh
7498,Dai hoc,2,Lap trinh vien,5.25,5,12,B,Gioi
7499,Dai hoc,0,Ky su R&D,15.75,15,8,B,Trung binh
7500,Dai hoc,1,BA,9.45,9,1,A,Gioi
7501,Dai hoc,0,Tu van ban hang,5.25,5,2,C,Xuat sac
7502,Dai hoc,2,Lap trinh vien,5.25,5,2,A,Gioi
7503,Dai hoc,3,Tu van ban hang,12.6,12,6,C,kha
7504,Cao dang,9,Tester,6.3,6,5,D,Trung binh
7505,Dai hoc,17,Lap trinh vien,6.3,6,12,C,Gioi
7506,Dai hoc,2,BA,16.8,16,1,A,Xuat sac
7507,Cao dang,1,Ke toan,6.3,6,1,A,Gioi
7508,Cao dang,0,Tester,4.2,4,0,B,kha
7509,Thac si,0,BA,23.1,22,0,A,Gioi
7510,Dai hoc,7,Tu van ban hang,10.5,10,3,C,kha
7511,Dai hoc,3,PM,26.775,25.5,4,D,kha
7512,Dai hoc,8,Lap trinh vien,23.1,22,8,B,kha
7513,Khong bang cap,0,Ke toan,9.45,9,1,C,Khong xep loai
7514,Dai hoc,7,Tu van ban hang,18.9,18,8,A,Trung binh
7515,Dai hoc,4,Ky su R&D,10.5,10,3,C,Trung binh
7516,Cao dang,4,Tu van ban hang,6.3,6,9,B,Gioi
7517,Cao dang,0,Lap trinh vien,19.95,19,1,B,Xuat sac
7518,Cao dang,6,BA,22.05,21,11,B,Gioi
7519,Dai hoc,3,Tu van ban hang,11.55,11,12,D,Xuat sac
7520,Thac si,2,Xu ly data,15.75,15,1,A,Trung binh
7521,Khong bang cap,19,Ky su R&D,21,20,7,A,Khong xep loai
7522,Dai hoc,1,Lap trinh vien,34.65,33,4,C,Xuat sac
7523,Dai hoc,2,Lap trinh vien,19.95,19,1,B,kha
